"id","gender","current_age","retirement_age","birth_period","latitude","longitude","yearly_income","total_debt","credit_score","num_credit_cards","total_cards","max_credit_limit","darkweb_card_count","credit_card_count","debit_card_count","trans_year","total_transactions","total_amount","active_user","productive_user","having_debt"
1178,"Female",59,68,"11-1960",30.56,-97.86,52754.0,38191.0,693,5,5,19086.0,0,0,5,2010,0,0.0,0,1,1
1391,"Male",45,59,"02-1975",40.72,-73.86,51196.0,67164.0,631,4,4,29573.0,0,0,3,2010,2108,94631.82,1,1,1
838,"Male",26,70,"07-1993",33.78,-84.44,49713.0,91776.0,763,1,1,13800.0,0,1,0,2010,0,0.0,0,1,1
54,"Female",21,68,"04-1998",41.66,-83.58,44160.0,134173.0,696,3,3,16375.0,0,0,2,2010,0,0.0,0,1,1
1452,"Female",46,59,"05-1973",29.76,-95.38,193773.0,241571.0,660,1,1,53466.0,0,0,1,2010,2652,93224.57,1,1,1
1602,"Female",41,66,"02-1979",40.38,-77.88,29864.0,44902.0,717,2,2,7200.0,0,2,0,2010,0,0.0,1,1,1
1938,"Male",22,67,"07-1997",29.45,-98.5,57367.0,115418.0,795,2,2,3400.0,0,1,1,2010,0,0.0,0,1,1
1492,"Female",63,58,"02-1957",47.32,-121.99,56635.0,13015.0,786,8,8,31542.0,0,2,4,2010,1154,48918.32,1,0,1
688,"Male",44,67,"03-1975",41.31,-111.96,47227.0,151030.0,760,4,4,25563.0,0,2,2,2010,853,31605.05,1,1,1
749,"Male",22,68,"10-1997",32.75,-97.33,24574.0,80667.0,674,3,3,11873.0,0,2,1,2010,0,0.0,0,1,1
643,"Female",29,65,"01-1991",40.69,-73.75,43397.0,42168.0,697,2,2,10000.0,0,2,0,2010,188,4052.49,1,1,1
1219,"Female",28,72,"06-1991",38.68,-76.17,58105.0,70254.0,688,3,3,32903.0,0,1,2,2010,584,43552.97,1,1,1
1198,"Male",82,67,"06-1937",29.5,-97.44,10869.0,1820.0,820,2,2,12764.0,0,1,1,2010,1574,58235.0,1,0,1
898,"Female",90,66,"06-1929",40.59,-75.47,19893.0,1712.0,566,3,3,9500.0,0,1,2,2010,799,19344.32,1,0,1
882,"Male",63,65,"08-1956",40.39,-82.47,36743.0,71719.0,612,2,2,17453.0,0,0,2,2010,763,27943.59,1,0,1
348,"Female",49,70,"07-1970",40.22,-74.76,46377.0,79980.0,719,3,3,28283.0,0,2,1,2010,542,25815.78,1,1,1
633,"Female",36,69,"10-1983",33.88,-118.27,50179.0,110515.0,743,1,1,17941.0,0,0,1,2010,445,31922.12,1,1,1
1493,"Male",30,65,"11-1989",38.22,-122.55,54537.0,121987.0,765,4,4,22701.0,0,3,1,2010,440,37701.85,1,1,1
1161,"Male",23,66,"12-1996",28.68,-81.51,49255.0,6557.0,823,2,2,16100.0,0,1,1,2010,0,0.0,0,1,1
217,"Male",42,65,"10-1977",41.77,-87.82,31031.0,21853.0,744,7,7,22746.0,0,3,4,2010,986,33257.29,1,1,1
1877,"Male",65,66,"01-1955",32.92,-96.45,70673.0,87605.0,714,4,4,23408.0,0,2,2,2010,1348,96444.92,1,0,1
668,"Female",87,57,"10-1932",33.52,-86.79,16342.0,1758.0,747,5,5,10538.0,0,1,4,2010,1434,33127.75,1,0,1
533,"Male",22,65,"09-1997",32.71,-102.65,30961.0,42597.0,677,1,1,8492.0,0,0,1,2010,0,0.0,0,1,1
203,"Female",58,67,"03-1961",32.9,-80.93,30305.0,23392.0,776,3,3,9100.0,0,3,0,2010,557,27491.15,1,1,1
1738,"Male",30,68,"03-1989",35.67,-97.41,68784.0,198417.0,696,4,4,21458.0,0,3,1,2010,0,0.0,0,1,1
713,"Female",25,71,"08-1994",48.19,-114.38,34745.0,26503.0,691,4,4,20765.0,0,1,3,2010,0,0.0,0,1,1
1631,"Female",18,67,"11-2001",30.44,-91.12,64715.0,174664.0,740,3,3,23700.0,0,3,0,2010,0,0.0,0,1,1
1487,"Female",59,69,"02-1961",40.69,-80.01,80464.0,76261.0,727,3,3,31589.0,0,1,2,2010,1358,123842.06,1,1,1
1265,"Female",18,67,"02-2002",40.43,-79.97,49748.0,23161.0,748,1,1,18321.0,0,0,1,2010,0,0.0,0,1,1
370,"Male",61,58,"11-1958",34.07,-117.62,41904.0,12545.0,655,4,4,15377.0,0,0,4,2010,763,25432.46,1,0,1
1014,"Female",54,70,"09-1965",33.6,-117.82,196784.0,437533.0,729,3,3,96907.0,0,1,1,2010,0,0.0,0,1,1
290,"Female",27,66,"03-1992",42.4,-83.6,100837.0,61377.0,687,2,2,50915.0,0,0,2,2010,0,0.0,0,1,1
985,"Male",32,65,"06-1987",42.8,-83.71,51654.0,95454.0,600,4,4,18132.0,0,3,1,2010,1094,101122.69,1,1,1
135,"Female",64,69,"06-1955",39.72,-82.59,38088.0,51679.0,691,2,2,21591.0,0,0,2,2010,1390,66707.81,1,0,1
307,"Male",18,69,"08-2001",30.23,-92.81,36866.0,0.0,680,2,2,11521.0,0,1,1,2010,0,0.0,0,1,0
1783,"Male",52,70,"09-1967",37.78,-122.24,37607.0,63689.0,749,5,5,16597.0,0,4,1,2010,1271,29453.5,1,1,1
1321,"Female",49,66,"10-1970",40.26,-103.79,34480.0,58795.0,696,1,1,18702.0,0,0,1,2010,0,0.0,0,1,1
1511,"Male",43,66,"01-1977",43.07,-89.38,48279.0,114254.0,719,2,2,24806.0,0,0,2,2010,1219,47443.83,1,1,1
900,"Male",36,65,"07-1983",30.17,-85.67,32896.0,69800.0,735,2,2,4900.0,0,1,0,2010,807,30882.47,1,1,1
953,"Male",18,71,"06-2001",33.78,-117.33,29909.0,42832.0,664,2,2,13390.0,0,1,1,2010,0,0.0,0,1,1
233,"Female",37,64,"12-1982",44.96,-93.26,47464.0,83591.0,716,1,1,13700.0,0,1,0,2010,0,0.0,1,1,1
406,"Female",23,64,"05-1996",37.3,-122.0,85128.0,108678.0,641,1,1,4200.0,0,1,0,2010,0,0.0,0,1,1
1069,"Male",54,69,"09-1965",35.3,-81.03,45852.0,114746.0,615,2,2,8800.0,0,1,1,2010,1034,34923.66,1,1,1
180,"Female",33,67,"07-1986",33.53,-112.18,26556.0,43042.0,840,2,2,7600.0,0,2,0,2010,623,24714.02,1,1,1
996,"Female",63,67,"11-1956",26.02,-80.16,40194.0,107765.0,738,6,6,27231.0,0,2,4,2010,1643,64222.42,1,0,1
1866,"Male",22,67,"02-1998",32.85,-96.96,62135.0,75209.0,676,2,2,24390.0,0,0,2,2010,0,0.0,0,1,1
1981,"Male",48,65,"01-1972",26.63,-81.99,39303.0,23650.0,702,7,7,20962.0,0,2,5,2010,622,30786.32,1,1,1
870,"Female",63,64,"03-1956",38.64,-76.9,71593.0,132181.0,821,3,3,30160.0,0,1,2,2010,1275,47946.4,1,0,1
16,"Male",75,67,"12-1944",41.88,-87.84,22158.0,19101.0,681,5,5,17211.0,0,1,3,2010,574,31237.85,1,0,1
46,"Male",62,66,"06-1957",40.66,-73.84,53996.0,98211.0,632,4,4,24191.0,0,0,2,2010,926,45929.85,1,0,1
800,"Female",28,73,"10-1991",30.44,-87.18,26025.0,23971.0,723,4,4,18242.0,0,0,3,2010,0,0.0,0,1,1
1968,"Female",25,69,"11-1994",40.94,-73.86,63816.0,100128.0,775,1,1,46.0,0,0,0,2010,0,0.0,0,1,1
697,"Female",56,73,"01-1964",35.72,-78.84,66230.0,90248.0,742,3,3,39818.0,0,0,3,2010,284,25571.99,1,1,1
1269,"Male",56,56,"10-1963",41.83,-87.68,36335.0,28929.0,676,2,2,17850.0,0,1,1,2010,1585,60714.78,1,1,1
1782,"Female",59,61,"02-1961",33.74,-117.99,39633.0,58586.0,777,3,3,23475.0,0,0,3,2010,831,30778.04,1,1,1
1977,"Female",43,69,"08-1976",41.5,-87.5,57185.0,0.0,773,3,3,15341.0,0,1,1,2010,1250,37450.62,1,1,0
1734,"Male",37,69,"11-1982",33.95,-84.54,82637.0,84762.0,739,2,2,42116.0,0,0,2,2010,0,0.0,0,1,1
1913,"Female",60,57,"01-1960",42.47,-83.49,31121.0,32768.0,619,5,5,21370.0,0,4,1,2010,889,40045.69,1,0,1
858,"Male",47,67,"11-1972",29.5,-97.44,30774.0,51428.0,700,3,3,14600.0,0,2,0,2010,1766,46356.7,1,1,1
606,"Male",48,67,"12-1971",39.4,-88.8,33236.0,57549.0,747,1,1,11398.0,0,0,1,2010,0,0.0,0,1,1
1564,"Male",35,65,"10-1984",35.2,-101.81,37947.0,49951.0,683,3,3,15820.0,0,2,1,2010,787,21987.97,1,1,1
1109,"Male",24,65,"11-1995",37.68,-97.34,43875.0,128146.0,639,1,1,9774.0,0,0,1,2010,0,0.0,0,1,1
1301,"Female",26,66,"05-1993",38.1,-122.63,61850.0,81158.0,728,9,9,48502.0,0,1,8,2010,0,0.0,1,1,1
1399,"Male",28,71,"05-1991",32.08,-81.1,40314.0,131348.0,707,4,4,18162.0,0,1,2,2010,0,0.0,0,1,1
1775,"Male",26,67,"08-1993",38.91,-75.43,37968.0,55982.0,788,3,3,17620.0,0,1,2,2010,0,0.0,1,1,1
1673,"Male",41,67,"11-1978",43.46,-85.95,34954.0,45456.0,772,3,3,17853.0,0,0,3,2010,0,0.0,0,1,1
1957,"Male",40,74,"09-1979",34.15,-118.6,95945.0,222735.0,772,2,2,16300.0,0,1,0,2010,920,92947.44,1,1,1
1033,"Female",18,58,"02-2002",43.07,-82.49,33844.0,42109.0,684,2,2,14836.0,0,0,2,2010,0,0.0,0,1,1
1024,"Male",66,67,"04-1953",37.69,-97.13,65573.0,143069.0,739,4,4,33103.0,0,1,3,2010,1512,37274.73,1,0,1
1441,"Male",40,66,"07-1979",43.07,-89.38,48609.0,43520.0,737,3,3,28894.0,0,1,1,2010,0,0.0,0,1,1
1103,"Female",45,70,"05-1974",47.09,-116.46,25723.0,34007.0,746,3,3,15409.0,0,1,2,2010,1357,51638.59,1,1,1
431,"Female",19,72,"03-2000",30.62,-87.89,51984.0,79152.0,691,3,3,29526.0,0,0,3,2010,0,0.0,0,1,1
165,"Male",34,65,"02-1986",37.83,-122.22,107683.0,225017.0,694,3,3,40628.0,0,0,2,2010,1427,124920.65,1,1,1
353,"Female",24,69,"02-1996",33.83,-117.2,32847.0,33514.0,721,2,2,10290.0,0,0,1,2010,0,0.0,0,1,1
1758,"Male",57,66,"01-1963",32.32,-90.2,22556.0,43260.0,645,4,4,13725.0,0,1,3,2010,1507,38347.04,1,1,1
1266,"Female",35,54,"09-1984",39.51,-76.17,46063.0,106528.0,618,1,1,15119.0,0,0,1,2010,737,28816.48,1,1,1
1943,"Female",19,65,"09-2000",41.71,-72.83,95348.0,71972.0,706,3,3,34183.0,0,1,1,2010,0,0.0,0,1,1
792,"Female",28,65,"01-1992",38.71,-95.08,45180.0,13168.0,698,2,2,15117.0,0,0,1,2010,0,0.0,0,1,1
1055,"Male",37,69,"04-1982",28.5,-81.37,30865.0,55079.0,594,1,1,1543.0,0,0,1,2010,0,0.0,0,1,1
1159,"Male",20,69,"11-1999",43.05,-82.67,41543.0,49021.0,732,4,4,22821.0,0,1,2,2010,0,0.0,0,1,1
1115,"Male",53,73,"09-1966",32.32,-95.3,30198.0,40950.0,693,6,6,18964.0,0,2,3,2010,1296,71675.85,1,1,1
38,"Female",45,64,"12-1974",26.63,-81.85,40006.0,72794.0,621,1,1,3711.0,0,0,1,2010,1383,51915.48,1,1,1
1027,"Male",53,68,"05-1966",38.88,-94.81,61646.0,0.0,693,3,3,35279.0,0,1,2,2010,826,56740.55,1,1,0
11,"Female",39,67,"10-1980",39.45,-76.81,67643.0,0.0,714,6,6,51012.0,0,3,2,2010,1019,57358.0,1,1,0
871,"Female",86,71,"05-1933",42.38,-83.1,22650.0,0.0,690,6,6,20128.0,0,3,2,2010,1654,44155.8,1,0,0
746,"Male",63,67,"10-1956",40.64,-73.94,30288.0,42745.0,689,4,4,9800.0,0,3,0,2010,1235,42337.37,1,0,1
1520,"Male",67,65,"10-1952",37.72,-122.44,47213.0,1082.0,789,5,5,24544.0,0,2,2,2010,1490,92162.21,1,0,1
1372,"Female",76,66,"10-1943",34.95,-96.75,28215.0,18116.0,697,2,2,5900.0,0,1,1,2010,0,0.0,0,0,1
1799,"Male",32,55,"04-1987",47.75,-122.04,105515.0,192458.0,646,4,4,62081.0,0,0,3,2010,1824,64834.04,1,1,1
1905,"Male",36,68,"12-1983",27.48,-82.57,28489.0,6087.0,808,4,4,6700.0,0,3,1,2010,427,18075.82,1,1,1
130,"Female",63,69,"09-1956",35.19,-80.83,81048.0,156195.0,781,4,4,19400.0,0,2,1,2010,0,0.0,0,0,1
1990,"Female",19,62,"12-2000",38.77,-76.06,47263.0,74853.0,726,2,2,16923.0,0,1,1,2010,0,0.0,0,1,1
593,"Male",19,71,"07-2000",40.52,-122.32,33816.0,77770.0,635,1,1,7700.0,0,1,0,2010,0,0.0,0,1,1
540,"Female",25,69,"09-1994",42.37,-87.86,32160.0,62803.0,634,1,1,146.0,0,0,1,2010,0,0.0,0,1,1
1155,"Female",83,65,"08-1936",31.5,-111.06,29494.0,1196.0,689,5,5,12091.0,0,2,3,2010,1395,63819.8,1,0,1
663,"Female",68,63,"03-1951",35.92,-86.84,70554.0,39078.0,655,5,5,27706.0,0,1,3,2010,1313,62972.48,1,0,1
1987,"Male",63,62,"09-1956",42.13,-87.92,33686.0,24997.0,488,2,2,18300.0,0,2,0,2010,720,34463.97,1,0,1
1484,"Female",92,72,"08-1927",32.28,-110.73,57732.0,2261.0,726,6,6,39533.0,0,2,4,2010,1518,56070.19,1,0,1
417,"Male",21,65,"03-1998",35.1,-90.0,21879.0,69638.0,762,1,1,3000.0,0,1,0,2010,0,0.0,0,1,1
298,"Male",28,65,"05-1991",40.79,-77.85,51041.0,106989.0,686,1,1,16486.0,0,0,1,2010,0,0.0,0,1,1
306,"Male",18,69,"01-2002",42.28,-71.16,70380.0,106797.0,725,2,2,51836.0,0,0,2,2010,0,0.0,0,1,1
607,"Male",25,64,"08-1994",41.92,-87.81,42617.0,67590.0,771,5,5,22935.0,0,3,2,2010,0,0.0,0,1,1
1769,"Male",75,65,"07-1944",39.69,-74.25,46031.0,8332.0,661,5,5,20206.0,0,2,2,2010,1279,38251.49,1,0,1
698,"Female",55,66,"10-1964",42.62,-73.83,65094.0,23909.0,699,3,3,33580.0,0,0,3,2010,0,0.0,0,1,1
896,"Female",27,65,"02-1993",38.04,-84.45,37268.0,50388.0,626,1,1,1952.0,0,0,1,2010,0,0.0,0,1,1
1975,"Female",53,67,"02-1967",41.55,-73.03,38972.0,44098.0,738,3,3,18491.0,0,2,1,2010,661,28607.65,1,1,1
645,"Female",63,64,"02-1957",33.91,-118.23,26661.0,42667.0,750,5,5,12434.0,0,0,5,2010,0,0.0,0,0,1
227,"Male",48,66,"09-1971",44.96,-93.26,82295.0,1555.0,736,4,4,52609.0,0,1,3,2010,843,56116.63,1,1,1
84,"Male",47,68,"09-1972",36.49,-81.5,25748.0,41455.0,738,3,3,11832.0,0,1,2,2010,1453,44185.1,1,1,1
1684,"Male",56,65,"11-1963",36.34,-83.28,27861.0,108313.0,782,5,5,16899.0,0,1,3,2010,1177,33966.7,1,1,1
745,"Male",18,72,"12-2001",34.06,-117.17,48561.0,0.0,752,1,1,11400.0,0,1,0,2010,0,0.0,0,1,0
1508,"Female",66,69,"04-1953",39.16,-86.52,38999.0,64875.0,747,4,4,12150.0,0,2,1,2010,627,16430.27,1,0,1
1158,"Male",62,66,"04-1957",35.78,-78.11,33112.0,56040.0,716,2,2,13761.0,0,1,1,2010,0,0.0,0,0,1
1427,"Female",34,66,"10-1985",35.19,-80.83,100880.0,210445.0,770,1,1,45377.0,0,0,1,2010,481,28789.61,1,1,1
352,"Male",22,65,"11-1997",34.21,-119.18,37058.0,50548.0,680,2,2,18091.0,0,0,2,2010,0,0.0,0,1,1
1948,"Male",24,58,"03-1995",38.95,-76.95,47234.0,89154.0,685,3,3,17905.0,0,2,1,2010,0,0.0,0,1,1
724,"Female",45,72,"05-1974",35.97,-96.76,35142.0,107898.0,731,4,4,16476.0,0,3,1,2010,622,31377.7,1,1,1
543,"Female",43,65,"03-1976",43.37,-124.14,30721.0,49961.0,749,3,3,11800.0,0,1,2,2010,797,31553.31,1,1,1
1559,"Female",56,67,"12-1963",34.05,-84.67,58846.0,126806.0,746,3,3,33539.0,0,1,2,2010,3172,86272.77,1,1,1
1199,"Male",29,68,"06-1990",42.93,-75.38,39069.0,63884.0,720,2,2,20160.0,0,1,1,2010,0,0.0,0,1,1
1745,"Female",20,65,"02-2000",33.94,-83.99,49449.0,30723.0,728,3,3,35466.0,0,0,3,2010,0,0.0,0,1,1
1950,"Female",39,73,"03-1980",36.69,-84.47,22312.0,39445.0,720,5,5,10903.0,0,1,4,2010,0,0.0,0,1,1
1397,"Male",32,72,"04-1987",36.88,-94.87,36388.0,92949.0,710,4,4,29340.0,0,2,1,2010,936,37494.18,1,1,1
873,"Female",52,68,"08-1967",28.24,-81.28,45037.0,31792.0,710,3,3,28405.0,0,0,3,2010,0,0.0,0,1,1
1728,"Female",47,63,"10-1972",44.35,-89.07,38615.0,74337.0,601,4,4,13900.0,0,3,1,2010,483,32483.29,1,1,1
299,"Male",40,61,"07-1979",40.84,-73.87,28229.0,55675.0,622,5,5,13009.0,0,2,3,2010,331,18634.92,1,1,1
1742,"Female",58,67,"11-1961",40.05,-86.03,50232.0,1218.0,751,4,4,24123.0,0,1,2,2010,997,37806.85,1,1,1
1004,"Male",59,66,"05-1960",37.2,-87.17,34350.0,61639.0,705,3,3,17272.0,0,0,3,2010,0,0.0,0,1,1
301,"Male",47,69,"11-1972",34.24,-84.49,52308.0,135319.0,679,1,1,21000.0,0,1,0,2010,1054,39627.47,1,1,1
1011,"Female",27,66,"08-1992",27.75,-82.64,32061.0,58904.0,676,1,1,21470.0,0,0,1,2010,0,0.0,0,1,1
906,"Male",75,69,"02-1945",40.57,-112.33,21154.0,5764.0,705,6,6,26850.0,0,3,2,2010,881,32372.47,1,0,1
110,"Female",52,72,"10-1967",30.26,-97.74,52186.0,42852.0,737,4,4,32223.0,0,1,3,2010,532,36716.69,1,1,1
1073,"Female",43,70,"05-1976",41.19,-85.7,35264.0,70328.0,770,2,2,25977.0,0,0,1,2010,972,44181.34,1,1,1
705,"Female",84,71,"09-1935",37.91,-122.01,79870.0,4031.0,609,2,2,5200.0,0,1,0,2010,1922,96951.46,1,0,1
820,"Female",70,59,"12-1949",41.7,-70.3,41902.0,29713.0,633,5,5,20759.0,0,3,1,2010,1526,66326.71,1,0,1
1188,"Female",24,61,"08-1995",36.3,-115.24,63969.0,128412.0,626,1,1,52.0,0,0,0,2010,0,0.0,0,1,1
1128,"Male",47,68,"07-1972",44.53,-72.0,34606.0,23909.0,680,5,5,15110.0,0,4,1,2010,836,29114.84,1,1,1
1479,"Male",32,60,"11-1987",33.72,-84.42,26631.0,33950.0,805,1,1,2800.0,0,1,0,2010,642,23418.9,1,1,1
1594,"Male",39,64,"11-1980",27.98,-80.66,35978.0,49366.0,643,3,3,22420.0,0,1,2,2010,738,19248.87,1,1,1
1485,"Male",64,69,"10-1955",33.41,-96.57,49756.0,89743.0,618,4,4,26460.0,0,0,3,2010,1219,42573.61,1,0,1
1390,"Male",37,71,"06-1982",36.17,-86.78,60897.0,85771.0,850,3,3,46201.0,0,2,1,2010,0,0.0,0,1,1
644,"Female",58,65,"03-1961",34.42,-84.11,41963.0,53857.0,741,1,1,7700.0,0,1,0,2010,430,19914.13,1,1,1
1912,"Female",37,60,"07-1982",44.96,-93.26,44976.0,134335.0,684,1,1,18937.0,0,0,1,2010,0,0.0,0,1,1
1584,"Male",27,69,"09-1992",32.69,-97.01,46733.0,34333.0,692,2,2,21723.0,0,0,2,2010,0,0.0,1,1,1
1803,"Female",26,60,"04-1993",41.66,-70.34,47160.0,64193.0,578,1,1,16858.0,0,0,1,2010,0,0.0,0,1,1
1824,"Male",23,65,"07-1996",40.44,-86.91,50433.0,97029.0,838,3,3,22143.0,0,0,2,2010,0,0.0,0,1,1
340,"Male",20,63,"08-1999",47.3,-122.37,51713.0,86165.0,809,1,1,65.0,0,0,0,2010,0,0.0,0,1,1
